Date,time,Allocate memory,%used
2020/11/30,23:57:45,1606751865,31.6945
2020/11/30,23:54:46,1606751686,31.9328
2020/11/30,23:51:45,1606751505,32.8929
2020/11/30,23:48:45,1606751325,34.5618
2020/11/30,23:45:45,1606751145,32.14
2020/11/30,23:42:45,1606750965,33.7496
2020/11/30,23:39:45,1606750785,31.7739
2020/11/30,23:36:45,1606750605,31.8288
2020/11/30,23:33:45,1606750425,31.315
2020/11/30,23:30:45,1606750245,31.2396
2020/11/30,23:27:45,1606750065,31.1272
2020/11/30,23:24:45,1606749885,33.3989
2020/11/30,23:21:45,1606749705,34.0814
2020/11/30,23:18:45,1606749525,33.9994
2020/11/30,23:15:45,1606749345,33.4351
2020/11/30,23:12:45,1606749165,33.5311
2020/11/30,23:09:45,1606748985,31.1821
2020/11/30,23:06:45,1606748805,31.377
2020/11/30,23:03:45,1606748625,31.4332
2020/11/30,23:00:45,1606748445,31.3102
2020/11/30,22:57:45,1606748265,31.8028
2020/11/30,22:54:45,1606748085,32.4551
2020/11/30,22:51:45,1606747905,32.9909
2020/11/30,22:48:45,1606747725,32.2504
2020/11/30,22:45:45,1606747545,31.5646
2020/11/30,22:42:45,1606747365,32.0475
2020/11/30,22:39:45,1606747185,32.4958
2020/11/30,22:36:45,1606747005,32.5186
2020/11/30,22:33:45,1606746825,32.133
2020/11/30,22:30:45,1606746645,32.1379
2020/11/30,22:27:45,1606746465,32.3198
2020/11/30,22:24:45,1606746285,33.3575
2020/11/30,22:21:45,1606746105,32.2839
2020/11/30,22:18:45,1606745925,32.5325
2020/11/30,22:15:45,1606745745,32.3347
2020/11/30,22:12:45,1606745565,35.4799
2020/11/30,22:09:45,1606745385,31.3722
2020/11/30,22:06:45,1606745205,31.3859
2020/11/30,22:03:45,1606745025,32.2773
2020/11/30,22:00:45,1606744845,32.574
2020/11/30,21:57:45,1606744665,32.5163
2020/11/30,21:54:45,1606744485,33.2612
2020/11/30,21:51:45,1606744305,33.7806
2020/11/30,21:48:45,1606744125,32.3948
2020/11/30,21:45:45,1606743945,29.7433
2020/11/30,21:42:45,1606743765,29.6484
2020/11/30,21:39:45,1606743585,36.406
2020/11/30,21:36:45,1606743405,36.4433
2020/11/30,21:33:45,1606743225,32.2206
2020/11/30,21:30:45,1606743045,31.6023
2020/11/30,21:27:45,1606742865,31.049
2020/11/30,21:24:45,1606742685,31.1392
2020/11/30,21:21:45,1606742505,31.1316
2020/11/30,21:18:45,1606742325,31.5866
2020/11/30,21:15:45,1606742145,32.097
2020/11/30,21:12:45,1606741965,32.3842
2020/11/30,21:09:45,1606741785,32.3363
2020/11/30,21:06:45,1606741605,31.1079
2020/11/30,21:03:45,1606741425,31.1466
2020/11/30,21:00:45,1606741245,30.9302
2020/11/30,20:57:45,1606741065,30.5188
2020/11/30,20:54:45,1606740885,30.4676
2020/11/30,20:51:45,1606740705,30.4506
2020/11/30,20:48:45,1606740525,30.4659
2020/11/30,20:45:45,1606740345,30.4172
2020/11/30,20:42:45,1606740165,30.6181
2020/11/30,20:39:45,1606739985,31.0971
2020/11/30,20:36:45,1606739805,31.0319
2020/11/30,20:33:45,1606739625,31.6399
2020/11/30,20:30:45,1606739445,31.9627
2020/11/30,20:27:45,1606739265,31.9153
2020/11/30,20:24:45,1606739085,31.163
2020/11/30,20:21:45,1606738905,31.8809
2020/11/30,20:18:45,1606738725,31.9725
2020/11/30,20:15:45,1606738545,32.2236
2020/11/30,20:12:45,1606738365,31.6972
2020/11/30,20:09:45,1606738185,30.3229
2020/11/30,20:06:45,1606738005,30.2947
2020/11/30,20:03:45,1606737825,30.504
2020/11/30,20:00:45,1606737645,31.0901
2020/11/30,19:57:45,1606737465,30.4311
2020/11/30,19:54:45,1606737285,30.5003
2020/11/30,19:51:45,1606737105,30.9727
2020/11/30,19:48:45,1606736925,31.7693
2020/11/30,19:45:45,1606736745,40.7952
2020/11/30,19:42:45,1606736565,33.4345
2020/11/30,19:39:45,1606736385,33.4021
2020/11/30,19:36:45,1606736205,36.4052
2020/11/30,19:33:45,1606736025,32.3152
2020/11/30,19:30:45,1606735845,32.2361
2020/11/30,19:27:45,1606735665,32.3756
2020/11/30,19:24:45,1606735485,32.4375
2020/11/30,19:21:46,1606735306,34.2447
2020/11/30,19:18:45,1606735125,35.374
2020/11/30,19:15:45,1606734945,30.8301
2020/11/30,19:12:45,1606734765,30.3
2020/11/30,19:09:45,1606734585,30.2661
2020/11/30,19:06:45,1606734405,30.6259
2020/11/30,19:03:45,1606734225,42.1048
2020/11/30,19:00:45,1606734045,33.0252
2020/11/30,18:57:45,1606733865,31.6633
2020/11/30,18:54:45,1606733685,31.5606
2020/11/30,18:51:45,1606733505,31.0621
2020/11/30,18:48:45,1606733325,30.6007
2020/11/30,18:45:45,1606733145,31.502
2020/11/30,18:42:45,1606732965,62.1267
2020/11/30,18:39:45,1606732785,62.7168
2020/11/30,18:36:45,1606732605,62.1151
2020/11/30,18:33:45,1606732425,61.6823
2020/11/30,18:30:45,1606732245,63.1586
2020/11/30,18:27:46,1606732066,60.1803
2020/11/30,18:24:45,1606731885,53.2614
2020/11/30,18:21:45,1606731705,46.8272
2020/11/30,18:18:45,1606731525,40.7605
2020/11/30,18:15:45,1606731345,34.5498
2020/11/30,18:12:45,1606731165,35.4347
2020/11/30,18:09:45,1606730985,35.8981
