Date,time,Allocate memory,%used
2020/10/31,17:54:45,1604138085,30.2216
2020/10/31,17:51:45,1604137905,29.2002
2020/10/31,17:48:45,1604137725,41.4298
2020/10/31,17:45:45,1604137545,31.7879
2020/10/31,17:42:45,1604137365,28.967
2020/10/31,17:39:45,1604137185,28.8974
2020/10/31,17:36:45,1604137005,28.7951
2020/10/31,17:33:45,1604136825,28.7892
2020/10/31,17:30:45,1604136645,28.7896
2020/10/31,17:27:45,1604136465,27.3802
2020/10/31,17:24:45,1604136285,27.3727
2020/10/31,17:21:45,1604136105,27.5445
2020/10/31,17:18:46,1604135926,27.5555
2020/10/31,17:15:45,1604135745,29.0772
2020/10/31,17:12:45,1604135565,40.4682
2020/10/31,17:09:45,1604135385,44.1582
2020/10/31,17:06:46,1604135206,34.2768
2020/10/31,17:03:45,1604135025,35.0947
2020/10/31,17:00:45,1604134845,40.0575
2020/10/31,16:57:45,1604134665,28.876
2020/10/31,16:54:45,1604134485,37.5464
2020/10/31,16:51:45,1604134305,29.9134
2020/10/31,16:48:45,1604134125,29.9551
2020/10/31,16:45:46,1604133946,34.1474
2020/10/31,16:42:45,1604133765,34.2815
2020/10/31,16:39:45,1604133585,45.5545
2020/10/31,16:36:45,1604133405,36.0445
2020/10/31,16:33:45,1604133225,30.5772
2020/10/31,16:30:45,1604133045,30.5658
2020/10/31,16:27:45,1604132865,31.7024
2020/10/31,16:24:45,1604132685,31.7735
2020/10/31,16:21:45,1604132505,33.6985
2020/10/31,16:18:46,1604132326,30.9324
2020/10/31,16:15:45,1604132145,48.6922
2020/10/31,16:12:45,1604131965,71.3366
2020/10/31,16:09:45,1604131785,50.7607
2020/10/31,16:06:45,1604131605,27.5968
2020/10/31,16:03:45,1604131425,29.556
2020/10/31,16:00:45,1604131245,31.4734
2020/10/31,15:57:45,1604131065,27.5487
2020/10/31,15:54:45,1604130885,30.3366
2020/10/31,15:51:45,1604130705,32.6996
2020/10/31,15:48:45,1604130525,32.5378
2020/10/31,15:45:45,1604130345,28.6729
2020/10/31,15:42:45,1604130165,28.813
2020/10/31,15:39:45,1604129985,28.7124
2020/10/31,15:36:45,1604129805,28.8211
2020/10/31,15:33:45,1604129625,28.8757
2020/10/31,15:30:45,1604129445,28.8236
2020/10/31,15:27:45,1604129265,28.7881
2020/10/31,15:24:45,1604129085,28.7954
2020/10/31,15:21:45,1604128905,28.7546
2020/10/31,15:18:45,1604128725,28.799
2020/10/31,15:15:45,1604128545,28.9088
2020/10/31,15:12:45,1604128365,28.6154
2020/10/31,15:09:45,1604128185,29.2987
2020/10/31,15:06:45,1604128005,34.1288
2020/10/31,15:03:45,1604127825,33.589
