Date time,Memory %used,Date time,CPU utilization (%)
2021/3/10 17:53,10.4212,2021/3/10 17:56,0.6593
2021/3/10 17:50,10.532,2021/3/10 17:53,0.6686
2021/3/10 17:47,10.5458,2021/3/10 17:50,1.8478
2021/3/10 17:44,10.6221,2021/3/10 17:47,0.625
2021/3/10 17:41,10.6428,2021/3/10 17:44,0.7103
2021/3/10 17:38,10.6719,2021/3/10 17:41,0.7518
2021/3/10 17:35,10.6935,2021/3/10 17:38,0.7281
2021/3/10 17:32,10.6849,2021/3/10 17:35,0.721
2021/3/10 17:29,10.6718,2021/3/10 17:32,2.1437
2021/3/10 17:26,10.6264,2021/3/10 17:29,0.719
2021/3/10 17:23,10.5037,2021/3/10 17:26,2.2432
2021/3/10 17:20,10.5319,2021/3/10 17:23,0.741
2021/3/10 17:17,10.4919,2021/3/10 17:20,0.6639
2021/3/10 17:14,10.4915,2021/3/10 17:17,0.7025
2021/3/10 17:11,10.5041,2021/3/10 17:14,0.683
2021/3/10 17:08,10.4724,2021/3/10 17:11,0.6531
2021/3/10 17:05,10.5652,2021/3/10 17:08,0.5942
2021/3/10 17:02,10.4867,2021/3/10 17:05,1.106
2021/3/10 16:59,10.4903,2021/3/10 17:02,0.6926
2021/3/10 16:56,10.621,2021/3/10 16:59,0.7235
2021/3/10 16:53,10.4944,2021/3/10 16:56,1.0957
2021/3/10 16:50,10.4986,2021/3/10 16:53,0.7528
2021/3/10 16:47,10.4978,2021/3/10 16:50,0.6998
2021/3/10 16:44,10.4867,2021/3/10 16:47,0.7603
2021/3/10 16:41,10.5267,2021/3/10 16:44,0.673
2021/3/10 16:38,10.5021,2021/3/10 16:41,0.7615
2021/3/10 16:35,10.6261,2021/3/10 16:38,0.6214
2021/3/10 16:32,10.4932,2021/3/10 16:35,2.0637
2021/3/10 16:29,10.4994,2021/3/10 16:32,0.8153
2021/3/10 16:26,10.6288,2021/3/10 16:29,0.7569
2021/3/10 16:23,10.4785,2021/3/10 16:26,1.17
2021/3/10 16:20,10.5292,2021/3/10 16:23,0.7202
2021/3/10 16:17,10.5429,2021/3/10 16:20,0.7246
2021/3/10 16:14,10.5107,2021/3/10 16:17,0.7235
2021/3/10 16:11,10.5837,2021/3/10 16:14,0.643
2021/3/10 16:08,10.5759,2021/3/10 16:11,1.0714
2021/3/10 16:05,10.5777,2021/3/10 16:08,0.7066
