Date time,Memory %used,Date time,CPU utilization (%)
2021/3/10 17:06,6.1848,2021/3/10 17:08,0.3528
2021/3/10 17:03,6.0622,2021/3/10 17:05,0.423
2021/3/10 17:00,6.0842,2021/3/10 17:02,0.5024
2021/3/10 16:57,6.0781,2021/3/10 16:59,0.3743
2021/3/10 16:54,6.109,2021/3/10 16:56,0.3827
2021/3/10 16:51,6.1059,2021/3/10 16:53,0.5306
2021/3/10 16:48,6.073,2021/3/10 16:50,0.3573
2021/3/10 16:45,6.0981,2021/3/10 16:47,0.449
2021/3/10 16:42,6.0781,2021/3/10 16:44,0.4724
2021/3/10 16:39,6.0899,2021/3/10 16:41,0.3549
2021/3/10 16:36,6.1204,2021/3/10 16:38,0.4513
2021/3/10 16:33,6.1384,2021/3/10 16:35,0.3442
2021/3/10 16:30,6.1048,2021/3/10 16:32,0.9255
2021/3/10 16:27,6.0749,2021/3/10 16:29,0.3464
2021/3/10 16:24,6.1136,2021/3/10 16:26,0.4362
2021/3/10 16:21,6.136,2021/3/10 16:23,0.4619
2021/3/10 16:18,6.0711,2021/3/10 16:20,1.1135
2021/3/10 16:15,6.0841,2021/3/10 16:17,0.3678
2021/3/10 16:12,6.0752,2021/3/10 16:14,0.3658
2021/3/10 16:09,6.0979,2021/3/10 16:11,0.667
2021/3/10 16:06,6.1036,2021/3/10 16:08,0.5515
2021/3/10 16:03,6.0844,2021/3/10 16:05,0.3507
2021/3/10 16:00,6.0978,2021/3/10 16:02,0.4553
2021/3/10 15:57,6.0811,2021/3/10 15:59,0.3427
2021/3/10 15:54,6.0883,2021/3/10 15:56,0.4284
2021/3/10 15:51,6.1029,2021/3/10 15:53,0.4124
2021/3/10 15:48,6.072,2021/3/10 15:50,0.4671
2021/3/10 15:45,6.0828,2021/3/10 15:47,0.3279
2021/3/10 15:42,6.0553,2021/3/10 15:44,0.4052
2021/3/10 15:39,6.0803,2021/3/10 15:41,0.4266
2021/3/10 15:36,6.0959,2021/3/10 15:38,0.4255
2021/3/10 15:33,6.0825,2021/3/10 15:35,0.3998
2021/3/10 15:30,6.108,2021/3/10 15:32,0.4725
2021/3/10 15:27,6.077,2021/3/10 15:29,0.4255
