Date time,Memory %used,Date time,CPU utilization (%)
2021/3/10 17:18,5.9681,2021/3/10 17:21,0.3103
2021/3/10 17:15,5.9671,2021/3/10 17:18,0.3935
2021/3/10 17:12,5.978,2021/3/10 17:15,0.4768
2021/3/10 17:09,6.0151,2021/3/10 17:12,0.4447
2021/3/10 17:06,6.0225,2021/3/10 17:09,0.342
2021/3/10 17:03,6.0072,2021/3/10 17:06,0.4362
2021/3/10 17:00,6.0202,2021/3/10 17:03,0.5793
2021/3/10 16:57,5.9807,2021/3/10 17:00,0.6349
2021/3/10 16:54,5.9884,2021/3/10 16:57,0.3747
2021/3/10 16:51,5.9755,2021/3/10 16:54,0.3783
2021/3/10 16:48,6.002,2021/3/10 16:51,0.3786
2021/3/10 16:45,5.9802,2021/3/10 16:48,0.3273
2021/3/10 16:42,5.981,2021/3/10 16:45,0.3956
2021/3/10 16:39,6.0106,2021/3/10 16:42,0.402
2021/3/10 16:36,5.9897,2021/3/10 16:39,0.3126
2021/3/10 16:33,6.0024,2021/3/10 16:36,0.4212
2021/3/10 16:30,5.9861,2021/3/10 16:33,0.3166
2021/3/10 16:27,6.0673,2021/3/10 16:30,0.4042
2021/3/10 16:24,6.0863,2021/3/10 16:27,0.355
2021/3/10 16:21,6.0091,2021/3/10 16:24,1.0034
2021/3/10 16:18,6.0235,2021/3/10 16:21,0.3444
2021/3/10 16:15,6.0084,2021/3/10 16:18,0.4
2021/3/10 16:12,5.9969,2021/3/10 16:15,0.3423
2021/3/10 16:09,6.0076,2021/3/10 16:12,0.4746
2021/3/10 16:06,5.9997,2021/3/10 16:09,0.49
2021/3/10 16:03,6.0132,2021/3/10 16:06,0.5756
2021/3/10 16:00,6.0086,2021/3/10 16:03,0.3342
2021/3/10 15:57,6.007,2021/3/10 16:00,0.4581
2021/3/10 15:54,6.0166,2021/3/10 15:57,0.3961
2021/3/10 15:51,6.009,2021/3/10 15:54,0.3671
2021/3/10 15:48,6.0085,2021/3/10 15:51,0.3598
2021/3/10 15:45,5.9994,2021/3/10 15:48,0.3505
2021/3/10 15:42,6.0099,2021/3/10 15:45,0.342
2021/3/10 15:39,6.016,2021/3/10 15:42,0.3888
2021/3/10 15:36,5.9964,2021/3/10 15:39,0.4002
2021/3/10 15:33,6.0065,2021/3/10 15:36,0.3318
2021/3/10 15:30,5.9705,2021/3/10 15:33,0.885
2021/3/10 15:27,6.0142,2021/3/10 15:30,0.37
2021/3/10 15:24,6.0163,2021/3/10 15:27,0.3913
2021/3/10 15:21,5.9842,2021/3/10 15:24,0.4361
2021/3/10 15:18,6.012,2021/3/10 15:21,0.34
2021/3/10 15:15,5.9981,2021/3/10 15:18,0.3657
2021/3/10 15:12,5.9823,2021/3/10 15:15,0.3999
2021/3/10 15:09,6.0086,2021/3/10 15:12,0.325
2021/3/10 15:06,5.9771,2021/3/10 15:09,0.3571
2021/3/10 15:03,6.0079,2021/3/10 15:06,0.3979
2021/3/10 15:00,5.9476,2021/3/10 15:03,0.7737
2021/3/10 14:57,6.0259,2021/3/10 15:00,0.308
2021/3/10 14:54,6.0607,2021/3/10 14:57,0.3742
2021/3/10 14:51,6.0643,2021/3/10 14:54,0.3656
2021/3/10 14:48,6.0023,2021/3/10 14:51,0.4575
2021/3/10 14:45,5.9976,2021/3/10 14:48,0.4149
2021/3/10 14:42,6.0024,2021/3/10 14:45,0.325
2021/3/10 14:39,6.031,2021/3/10 14:42,0.3187
2021/3/10 14:36,6.0273,2021/3/10 14:39,0.3656
2021/3/10 14:33,6.0181,2021/3/10 14:36,0.3913
2021/3/10 14:30,5.947,2021/3/10 14:33,0.3528
2021/3/10 14:27,6.3579,2021/3/10 14:30,0.3656
2021/3/10 14:24,6.6725,2021/3/10 14:27,0.3379
2021/3/10 14:21,5.9647,2021/3/10 14:24,3.1412
2021/3/10 14:18,5.9594,2021/3/10 14:21,0.419
2021/3/10 14:15,5.962,2021/3/10 14:18,0.3722
2021/3/10 14:12,5.9724,2021/3/10 14:15,0.2994
2021/3/10 14:09,5.9842,2021/3/10 14:12,0.419
2021/3/10 14:06,5.9728,2021/3/10 14:09,0.4318
2021/3/10 14:03,5.9682,2021/3/10 14:06,0.4491
2021/3/10 14:00,5.9636,2021/3/10 14:03,0.3529
2021/3/10 13:57,5.9729,2021/3/10 14:00,0.3485
2021/3/10 13:54,5.9875,2021/3/10 13:57,0.4725
2021/3/10 13:51,5.9682,2021/3/10 13:54,0.3827
2021/3/10 13:48,6,2021/3/10 13:51,0.4538
2021/3/10 13:45,5.9678,2021/3/10 13:48,0.3406
2021/3/10 13:42,5.9883,2021/3/10 13:45,0.3406
2021/3/10 13:39,5.9603,2021/3/10 13:42,0.3509
2021/3/10 13:36,5.9617,2021/3/10 13:39,0.4258
2021/3/10 13:33,5.972,2021/3/10 13:36,0.4238
2021/3/10 13:30,5.9575,2021/3/10 13:33,0.3726
2021/3/10 13:27,5.9842,2021/3/10 13:30,0.4631
2021/3/10 13:24,5.9772,2021/3/10 13:27,0.3606
2021/3/10 13:21,5.9661,2021/3/10 13:24,0.3465
2021/3/10 13:18,5.9449,2021/3/10 13:21,0.3229
2021/3/10 13:15,5.9478,2021/3/10 13:18,0.3336
2021/3/10 13:12,5.9682,2021/3/10 13:15,0.4276
2021/3/10 13:09,6.0227,2021/3/10 13:12,0.2761
2021/3/10 13:06,6.0095,2021/3/10 13:09,0.3421
2021/3/10 13:03,5.9501,2021/3/10 13:06,0.5412
2021/3/10 13:00,5.9483,2021/3/10 13:03,0.3358
2021/3/10 12:57,5.9504,2021/3/10 13:00,0.3592
2021/3/10 12:54,5.9675,2021/3/10 12:57,0.3149
2021/3/10 12:51,5.9276,2021/3/10 12:54,0.5005
2021/3/10 12:48,5.9803,2021/3/10 12:51,0.3742
2021/3/10 12:45,5.9627,2021/3/10 12:48,0.5003
2021/3/10 12:42,5.9775,2021/3/10 12:45,0.4896
2021/3/10 12:39,5.9736,2021/3/10 12:42,0.3891
2021/3/10 12:36,5.9546,2021/3/10 12:39,0.4298
2021/3/10 12:33,5.9692,2021/3/10 12:36,0.3849
2021/3/10 12:30,5.9678,2021/3/10 12:33,0.3421
2021/3/10 12:27,5.9549,2021/3/10 12:30,0.4361
2021/3/10 12:24,5.9712,2021/3/10 12:27,0.3922
2021/3/10 12:21,5.9548,2021/3/10 12:24,0.3549
2021/3/10 12:18,5.9547,2021/3/10 12:21,0.3729
2021/3/10 12:15,5.9428,2021/3/10 12:18,0.4619
2021/3/10 12:12,5.9563,2021/3/10 12:15,0.3378
2021/3/10 12:09,5.9568,2021/3/10 12:12,0.325
2021/3/10 12:06,5.9387,2021/3/10 12:09,0.4254
2021/3/10 12:03,5.9555,2021/3/10 12:06,0.4297
2021/3/10 12:00,5.9476,2021/3/10 12:03,0.885
2021/3/10 11:57,5.9567,2021/3/10 12:00,0.3277
2021/3/10 11:54,5.967,2021/3/10 11:57,0.3506
2021/3/10 11:51,5.9439,2021/3/10 11:54,0.3613
2021/3/10 11:48,5.9759,2021/3/10 11:51,0.4255
2021/3/10 11:45,5.9396,2021/3/10 11:48,1.4278
2021/3/10 11:42,5.9453,2021/3/10 11:45,0.5387
2021/3/10 11:39,5.9627,2021/3/10 11:42,0.5835
2021/3/10 11:36,5.9879,2021/3/10 11:39,0.3143
2021/3/10 11:33,6.0214,2021/3/10 11:36,0.3957
2021/3/10 11:30,5.9474,2021/3/10 11:33,0.4176
2021/3/10 11:27,5.9567,2021/3/10 11:30,0.3128
2021/3/10 11:24,5.9204,2021/3/10 11:27,0.3833
2021/3/10 11:21,5.9346,2021/3/10 11:24,0.3169
2021/3/10 11:18,5.9476,2021/3/10 11:21,0.3835
2021/3/10 11:15,5.936,2021/3/10 11:18,0.3527
2021/3/10 11:12,5.9401,2021/3/10 11:15,0.4033
2021/3/10 11:09,5.9518,2021/3/10 11:12,0.3349
2021/3/10 11:06,5.9424,2021/3/10 11:09,0.3528
2021/3/10 11:03,5.9396,2021/3/10 11:06,0.4468
2021/3/10 11:00,5.9504,2021/3/10 11:03,0.4577
2021/3/10 10:57,5.9597,2021/3/10 11:00,0.3656
2021/3/10 10:54,5.9962,2021/3/10 10:57,0.4062
2021/3/10 10:51,6.0562,2021/3/10 10:54,0.3808
2021/3/10 10:48,6.0351,2021/3/10 10:51,0.7738
2021/3/10 10:45,5.9913,2021/3/10 10:48,0.5904
2021/3/10 10:42,6.0099,2021/3/10 10:45,0.449
2021/3/10 10:39,6.197,2021/3/10 10:42,0.4297
2021/3/10 10:36,5.7537,2021/3/10 10:39,2.478
2021/3/10 10:33,5.7575,2021/3/10 10:36,0.37
