Date time,Memory %used,Date time,CPU utilization (%)
2021/3/10 17:12,5.2474,2021/3/10 17:15,0.34
2021/3/10 17:09,5.6591,2021/3/10 17:12,0.4464
2021/3/10 17:06,5.3134,2021/3/10 17:09,1.6248
2021/3/10 17:03,5.2433,2021/3/10 17:06,0.3272
2021/3/10 17:00,5.2546,2021/3/10 17:03,0.5238
2021/3/10 16:57,5.1776,2021/3/10 17:00,0.5558
2021/3/10 16:54,5.1947,2021/3/10 16:57,0.4001
2021/3/10 16:51,5.2047,2021/3/10 16:54,0.3187
2021/3/10 16:48,5.1928,2021/3/10 16:51,0.3678
2021/3/10 16:45,5.1911,2021/3/10 16:48,0.4148
2021/3/10 16:42,5.209,2021/3/10 16:45,0.9333
2021/3/10 16:39,5.2433,2021/3/10 16:42,0.3229
2021/3/10 16:36,5.1958,2021/3/10 16:39,0.3529
2021/3/10 16:33,5.1878,2021/3/10 16:36,0.355
2021/3/10 16:30,5.1801,2021/3/10 16:33,0.4361
2021/3/10 16:27,5.1907,2021/3/10 16:30,0.3741
2021/3/10 16:24,5.233,2021/3/10 16:27,0.3165
2021/3/10 16:21,5.2675,2021/3/10 16:24,0.4853
2021/3/10 16:18,5.1776,2021/3/10 16:21,1.0836
2021/3/10 16:15,5.1769,2021/3/10 16:18,0.4212
2021/3/10 16:12,5.1865,2021/3/10 16:15,0.3357
2021/3/10 16:09,5.1508,2021/3/10 16:12,0.5643
2021/3/10 16:06,5.1878,2021/3/10 16:09,0.4554
2021/3/10 16:03,5.1671,2021/3/10 16:06,0.372
2021/3/10 16:00,5.1874,2021/3/10 16:03,0.3507
2021/3/10 15:57,5.1783,2021/3/10 16:00,0.3107
2021/3/10 15:54,5.181,2021/3/10 15:57,0.3876
2021/3/10 15:51,5.1905,2021/3/10 15:54,0.3483
2021/3/10 15:48,5.1752,2021/3/10 15:51,0.4033
2021/3/10 15:45,5.155,2021/3/10 15:48,0.3243
2021/3/10 15:42,5.1848,2021/3/10 15:45,0.3354
2021/3/10 15:39,5.198,2021/3/10 15:42,0.3845
2021/3/10 15:36,5.1934,2021/3/10 15:39,0.5129
2021/3/10 15:33,5.1942,2021/3/10 15:36,0.3144
2021/3/10 15:30,5.1687,2021/3/10 15:33,0.8827
2021/3/10 15:27,5.1474,2021/3/10 15:30,0.3763
2021/3/10 15:24,5.5614,2021/3/10 15:27,0.5451
2021/3/10 15:21,5.7973,2021/3/10 15:24,0.3935
2021/3/10 15:18,5.1797,2021/3/10 15:21,2.1021
2021/3/10 15:15,5.1605,2021/3/10 15:18,0.3015
2021/3/10 15:12,5.1579,2021/3/10 15:15,0.3378
2021/3/10 15:09,5.1507,2021/3/10 15:12,0.4639
2021/3/10 15:06,5.1622,2021/3/10 15:09,0.2995
2021/3/10 15:03,5.159,2021/3/10 15:06,0.3486
2021/3/10 15:00,5.1454,2021/3/10 15:03,0.7023
2021/3/10 14:57,5.1481,2021/3/10 15:00,0.3336
2021/3/10 14:54,5.1573,2021/3/10 14:57,0.3465
2021/3/10 14:51,5.1691,2021/3/10 14:54,0.2995
2021/3/10 14:48,5.167,2021/3/10 14:51,0.3913
2021/3/10 14:45,5.19,2021/3/10 14:48,0.6028
2021/3/10 14:42,5.2061,2021/3/10 14:45,0.4084
2021/3/10 14:39,5.1514,2021/3/10 14:42,0.6328
2021/3/10 14:36,5.1579,2021/3/10 14:39,0.3529
2021/3/10 14:33,5.1426,2021/3/10 14:36,0.3956
2021/3/10 14:30,5.1675,2021/3/10 14:33,0.3849
2021/3/10 14:27,5.1665,2021/3/10 14:30,0.3807
2021/3/10 14:24,5.1559,2021/3/10 14:27,0.4789
2021/3/10 14:21,5.1439,2021/3/10 14:24,0.3294
2021/3/10 14:18,5.1379,2021/3/10 14:21,0.5152
2021/3/10 14:15,5.1333,2021/3/10 14:18,0.3251
2021/3/10 14:12,5.1494,2021/3/10 14:15,0.3571
2021/3/10 14:09,5.1378,2021/3/10 14:12,0.3293
2021/3/10 14:06,5.1396,2021/3/10 14:09,0.3358
2021/3/10 14:03,5.1474,2021/3/10 14:06,0.4191
2021/3/10 14:00,5.1584,2021/3/10 14:03,0.3785
2021/3/10 13:57,5.1443,2021/3/10 14:00,0.4191
2021/3/10 13:54,5.1475,2021/3/10 13:57,0.3531
2021/3/10 13:51,5.1682,2021/3/10 13:54,0.466
2021/3/10 13:48,5.1452,2021/3/10 13:51,0.3571
2021/3/10 13:45,5.1467,2021/3/10 13:48,0.3849
2021/3/10 13:42,5.1437,2021/3/10 13:45,0.4086
2021/3/10 13:39,5.1699,2021/3/10 13:42,0.369
2021/3/10 13:36,5.1492,2021/3/10 13:39,0.5363
2021/3/10 13:33,5.0864,2021/3/10 13:36,0.4274
2021/3/10 13:30,5.1693,2021/3/10 13:33,0.4247
2021/3/10 13:27,5.0837,2021/3/10 13:30,1.247
2021/3/10 13:24,5.0329,2021/3/10 13:27,0.3751
2021/3/10 13:21,5.0894,2021/3/10 13:24,0.3742
2021/3/10 13:18,5.0792,2021/3/10 13:21,0.3806
2021/3/10 13:15,5.1412,2021/3/10 13:18,0.3764
2021/3/10 13:12,5.1397,2021/3/10 13:15,0.3849
2021/3/10 13:09,5.0664,2021/3/10 13:12,0.7268
2021/3/10 13:06,5.0703,2021/3/10 13:09,0.4511
2021/3/10 13:03,5.0517,2021/3/10 13:06,0.4682
2021/3/10 13:00,5.0622,2021/3/10 13:03,0.3464
2021/3/10 12:57,5.0575,2021/3/10 13:00,0.3058
2021/3/10 12:54,5.0568,2021/3/10 12:57,0.3528
2021/3/10 12:51,5.0644,2021/3/10 12:54,0.4448
2021/3/10 12:48,5.053,2021/3/10 12:51,0.3828
2021/3/10 12:45,5.0664,2021/3/10 12:48,0.5622
2021/3/10 12:42,5.0539,2021/3/10 12:45,0.4105
2021/3/10 12:39,5.0636,2021/3/10 12:42,0.2953
2021/3/10 12:36,5.1031,2021/3/10 12:39,0.3315
2021/3/10 12:33,5.0313,2021/3/10 12:36,0.4427
2021/3/10 12:30,5.0607,2021/3/10 12:33,0.3742
2021/3/10 12:27,5.0492,2021/3/10 12:30,0.4041
2021/3/10 12:24,5.0479,2021/3/10 12:27,0.3318
2021/3/10 12:21,5.0624,2021/3/10 12:24,0.3635
2021/3/10 12:18,5.0479,2021/3/10 12:21,0.4639
2021/3/10 12:15,5.0544,2021/3/10 12:18,0.34
2021/3/10 12:12,5.0194,2021/3/10 12:15,0.3165
2021/3/10 12:09,5.048,2021/3/10 12:12,0.3677
2021/3/10 12:06,5.0596,2021/3/10 12:09,0.2717
2021/3/10 12:03,5.0562,2021/3/10 12:06,0.34
2021/3/10 12:00,5.0861,2021/3/10 12:03,0.9768
2021/3/10 11:57,5.057,2021/3/10 12:00,0.3614
2021/3/10 11:54,5.0711,2021/3/10 11:57,0.3699
2021/3/10 11:51,5.0917,2021/3/10 11:54,0.3635
2021/3/10 11:48,5.0584,2021/3/10 11:51,0.3423
2021/3/10 11:45,5.3943,2021/3/10 11:48,0.8571
2021/3/10 11:42,5.4324,2021/3/10 11:45,0.5195
2021/3/10 11:39,5.1236,2021/3/10 11:42,1.1926
2021/3/10 11:36,5.0592,2021/3/10 11:39,0.3208
2021/3/10 11:33,5.0593,2021/3/10 11:36,0.3999
2021/3/10 11:30,5.0855,2021/3/10 11:33,0.34
2021/3/10 11:27,5.038,2021/3/10 11:30,0.3208
2021/3/10 11:24,5.0507,2021/3/10 11:27,0.3214
2021/3/10 11:21,5.0617,2021/3/10 11:24,0.3962
2021/3/10 11:18,5.0443,2021/3/10 11:21,0.5577
2021/3/10 11:15,5.0525,2021/3/10 11:18,0.3441
2021/3/10 11:12,5.0437,2021/3/10 11:15,0.4128
2021/3/10 11:09,5.0377,2021/3/10 11:12,0.4537
2021/3/10 11:06,5.0331,2021/3/10 11:09,0.3534
2021/3/10 11:03,5.0286,2021/3/10 11:06,0.3464
2021/3/10 11:00,5.0353,2021/3/10 11:03,0.3722
2021/3/10 10:57,5.0369,2021/3/10 11:00,0.3549
2021/3/10 10:54,5.0293,2021/3/10 10:57,0.3251
2021/3/10 10:51,5.0325,2021/3/10 10:54,0.3229
2021/3/10 10:48,5.0297,2021/3/10 10:51,0.3593
2021/3/10 10:45,5.043,2021/3/10 10:48,0.434
2021/3/10 10:42,5.0299,2021/3/10 10:45,0.3614
2021/3/10 10:39,5.0326,2021/3/10 10:42,0.3464
2021/3/10 10:36,5.0653,2021/3/10 10:39,0.5045
2021/3/10 10:33,5.0259,2021/3/10 10:36,0.3016
2021/3/10 10:30,5.0565,2021/3/10 10:33,0.4639
2021/3/10 10:27,4.9888,2021/3/10 10:30,0.3488
2021/3/10 10:24,5.0059,2021/3/10 10:27,0.2759
2021/3/10 10:21,4.9972,2021/3/10 10:24,0.3401
2021/3/10 10:18,4.9858,2021/3/10 10:21,0.3443
2021/3/10 10:15,4.8418,2021/3/10 10:18,0.402
2021/3/10 10:12,5.0711,2021/3/10 10:15,1.7695
2021/3/10 10:09,5.0772,2021/3/10 10:12,0.37
2021/3/10 10:06,5.0819,2021/3/10 10:09,0.3764
2021/3/10 10:03,5.0626,2021/3/10 10:06,0.3656
2021/3/10 10:00,5.0748,2021/3/10 10:03,0.3294
2021/3/10 09:57,5.0868,2021/3/10 10:00,0.3124
2021/3/10 09:54,5.1035,2021/3/10 09:57,0.3592
2021/3/10 09:51,5.0783,2021/3/10 09:54,0.3103
2021/3/10 09:48,5.0595,2021/3/10 09:51,0.3165
2021/3/10 09:45,5.0662,2021/3/10 09:48,0.5046
2021/3/10 09:42,5.0683,2021/3/10 09:45,0.4617
2021/3/10 09:39,5.0585,2021/3/10 09:42,0.432
2021/3/10 09:36,5.0698,2021/3/10 09:39,0.4789
2021/3/10 09:33,5.0654,2021/3/10 09:36,0.3572
2021/3/10 09:30,5.0643,2021/3/10 09:33,0.4084
2021/3/10 09:27,5.0573,2021/3/10 09:30,0.3977
2021/3/10 09:24,5.0662,2021/3/10 09:27,0.259
2021/3/10 09:21,5.0664,2021/3/10 09:24,0.4511
2021/3/10 09:18,5.0388,2021/3/10 09:21,0.3849
2021/3/10 09:15,5.0728,2021/3/10 09:18,0.3935
2021/3/10 09:12,5.03,2021/3/10 09:15,0.3485
2021/3/10 09:09,5.0985,2021/3/10 09:12,0.3491
2021/3/10 09:06,5.1608,2021/3/10 09:09,0.3684
2021/3/10 09:03,5.0513,2021/3/10 09:06,0.6367
2021/3/10 09:00,5.0542,2021/3/10 09:03,0.4487
2021/3/10 08:57,5.0505,2021/3/10 09:00,0.4226
2021/3/10 08:54,5.0483,2021/3/10 08:57,0.3662
2021/3/10 08:51,5.0573,2021/3/10 08:54,0.3674
