Date time,Memory %used,Date time,CPU utilization (%)
2021/3/10 16:39,32.0072,2021/3/10 16:42,2.3076
2021/3/10 16:36,28.8143,2021/3/10 16:39,23.525
2021/3/10 16:33,24.3849,2021/3/10 16:36,19.6872
2021/3/10 16:30,24.3541,2021/3/10 16:33,5.1773
2021/3/10 16:27,24.3579,2021/3/10 16:30,3.747
2021/3/10 16:24,24.1901,2021/3/10 16:27,3.0513
2021/3/10 16:21,24.2921,2021/3/10 16:24,1.5661
2021/3/10 16:18,24.3205,2021/3/10 16:21,1.7412
2021/3/10 16:15,24.2889,2021/3/10 16:18,4.0948
2021/3/10 16:12,24.1414,2021/3/10 16:15,2.9222
2021/3/10 16:09,24.1898,2021/3/10 16:12,1.9809
2021/3/10 16:06,24.1864,2021/3/10 16:09,2.5439
2021/3/10 16:03,24.1157,2021/3/10 16:06,1.4185
2021/3/10 16:00,24.1395,2021/3/10 16:03,4.0804
2021/3/10 15:57,24.1153,2021/3/10 16:00,2.3776
2021/3/10 15:54,23.945,2021/3/10 15:57,1.6327
2021/3/10 15:51,24.0459,2021/3/10 15:54,2.0343
2021/3/10 15:48,24.1213,2021/3/10 15:51,1.6815
2021/3/10 15:45,24.205,2021/3/10 15:48,3.0739
2021/3/10 15:42,24.1042,2021/3/10 15:45,2.2069
2021/3/10 15:39,24.1763,2021/3/10 15:42,1.6002
2021/3/10 15:36,24.3309,2021/3/10 15:39,2.2354
2021/3/10 15:33,24.1507,2021/3/10 15:36,1.7437
2021/3/10 15:30,24.2718,2021/3/10 15:33,3.9032
2021/3/10 15:27,24.4267,2021/3/10 15:30,2.8283
2021/3/10 15:24,24.5767,2021/3/10 15:27,1.9149
2021/3/10 15:21,24.3427,2021/3/10 15:24,1.8586
2021/3/10 15:18,25.2376,2021/3/10 15:21,1.7424
2021/3/10 15:15,27.865,2021/3/10 15:18,12.0857
2021/3/10 15:12,24.2035,2021/3/10 15:15,21.2166
2021/3/10 15:09,24.1867,2021/3/10 15:12,1.882
2021/3/10 15:06,24.1309,2021/3/10 15:09,2.3684
2021/3/10 15:03,24.1015,2021/3/10 15:06,1.379
2021/3/10 15:00,24.0524,2021/3/10 15:03,2.7147
2021/3/10 14:57,24.012,2021/3/10 15:00,1.4325
2021/3/10 14:54,24.0755,2021/3/10 14:57,1.7219
2021/3/10 14:51,24.1959,2021/3/10 14:54,2.5209
2021/3/10 14:48,24.0515,2021/3/10 14:51,2.7961
2021/3/10 14:45,24.5691,2021/3/10 14:48,2.2628
2021/3/10 14:42,24.4914,2021/3/10 14:45,1.6978
